date,temperature,humidity,irradiance,potential,wind_speed
19500101,22.384,77.513,805.17,4.1294,0.12452
19500102,22.184,76.513,804.17,4.1194,0.13452
19500103,22.724,78.124,779.17,3.9913,0.20164
19500104,23.304,77.783,829.17,4.2474,0.41398
19500105,23.22,78.819,816.67,4.1834,0.43339
19500106,22.369,85.388,708.33,3.6285,0.53087
19500107,23.715,81.733,762.5,3.9059,0.56524
19500108,24.511,73.646,879.17,4.5036,0.80262
19500109,23.689,72.421,883.33,4.5249,0.18113
19500110,22.658,80.397,850.0,4.3541,0.60545
19500111,22.908,76.383,858.33,4.3968,0.54057
19500112,23.133,77.904,854.17,4.3755,0.52992
19500113,22.942,79.767,779.17,3.9913,0.45489
19500114,22.875,79.366,833.33,4.2688,0.33355
19500115,22.141,83.947,816.67,4.1834,0.27765
19500116,22.049,79.029,883.33,4.5249,0.37879
19500117,22.74,69.231,908.33,4.653,0.7233
19500118,23.235,70.215,904.17,4.6316,0.76953
19500119,22.913,74.553,887.5,4.5462,0.31974
19500120,23.577,73.095,916.67,4.6957,0.49898
19500121,23.783,73.047,916.67,4.6957,0.4771
19500122,23.727,75.588,883.33,4.5249,0.26587
19500123,23.607,72.602,895.83,4.5889,0.11021
19500124,23.714,70.548,870.83,4.4609,0.5496
19500125,23.941,71.408,883.33,4.5249,0.30469
19500126,23.922,80.309,825.0,4.2261,0.28586
19500127,22.66,86.627,745.83,3.8206,0.56029
19500128,23.296,82.86,825.0,4.2261,0.13996
19500129,23.472,78.525,883.33,4.5249,0.98891
19500130,23.969,75.754,862.5,4.4182,0.72548
19500131,23.778,79.005,875.0,4.4822,0.218
19500201,24.211,77.15,900.0,4.6103,0.39231
19500202,24.257,77.45,870.83,4.4609,0.47403
19500203,23.259,82.239,783.33,4.0126,0.69871
19500204,23.258,83.519,795.83,4.0767,0.70858
19500205,22.971,84.85,766.67,3.9273,0.92024
19500206,22.98,83.559,595.83,3.0522,0.84749
19500207,23.211,79.925,845.83,4.3328,0.1134
19500208,22.942,79.139,854.17,4.3755,0.20032
19500209,22.797,77.31,908.33,4.653,0.32435
19500210,23.047,69.662,945.83,4.8451,1.0287
19500211,23.404,68.19,950.0,4.8664,1.1031
19500212,23.339,68.542,954.17,4.8877,0.94818
19500213,22.97,72.368,945.83,4.8451,0.76265
19500214,23.6,69.542,958.33,4.9091,0.64997
19500215,23.398,71.224,966.67,4.9518,0.56582
19500216,23.401,73.431,945.83,4.8451,0.1597
19500217,23.327,73.338,941.67,4.8237,0.52471
19500218,23.43,73.767,925.0,4.7383,0.86167
19500219,23.542,70.687,933.33,4.781,0.41131
19500220,23.269,70.007,966.67,4.9518,0.64225
19500221,23.352,68.67,979.17,5.0158,0.090519
19500222,23.539,68.792,975.0,4.9945,0.55541
19500223,23.5,69.499,983.33,5.0372,0.5282
19500224,23.781,74.501,937.5,4.8024,0.17585
