date,temperature,humidity,irradiance,potential,wind_speed
19500101,19.575,74.585,854.33,4.388,0.19861
19500102,19.875,74.985,833.33,4.2688,0.19761
19500103,20.137,78.083,779.17,3.9913,0.53274
19500104,21.037,74.749,841.67,4.3115,0.32011
19500105,21.013,76.081,825.0,4.2261,0.12056
19500106,20.136,84.681,733.33,3.7565,0.25596
19500107,20.628,83.854,733.33,3.7565,0.66087
19500108,21.87,72.499,875.0,4.4822,0.69765
19500109,21.253,69.591,883.33,4.5249,0.58897
19500110,19.841,76.65,854.17,4.3755,0.99063
19500111,19.935,74.738,870.83,4.4609,0.99496
19500112,20.391,75.498,879.17,4.5036,0.84646
19500113,20.273,78.686,833.33,4.2688,0.89572
19500114,20.025,78.204,829.17,4.2474,0.85129
19500115,19.549,77.737,841.67,4.3115,0.36794
19500116,19.168,73.206,895.83,4.5889,0.45704
19500117,19.52,70.348,904.17,4.6316,0.38705
19500118,20.48,70.518,900.0,4.6103,0.55534
19500119,20.398,71.995,895.83,4.5889,0.20981
19500120,21.07,70.815,908.33,4.653,0.49719
19500121,21.308,70.543,912.5,4.6743,0.37755
19500122,20.883,75.336,891.67,4.5676,0.74539
19500123,20.931,70.15,900.0,4.6103,0.5482
19500124,21.07,70.76,895.83,4.5889,0.66889
19500125,21.606,69.206,879.17,4.5036,0.42123
19500126,20.771,81.508,800.0,4.098,0.70124
19500127,19.844,88.059,708.33,3.6285,0.61543
19500128,20.348,84.651,825.0,4.2261,0.6737
19500129,21.106,76.179,891.67,4.5676,0.56909
19500130,21.157,75.963,879.17,4.5036,0.3616
19500131,21.399,76.906,866.67,4.4395,0.20567
19500201,21.445,77.618,870.83,4.4609,0.28279
19500202,21.555,78.232,837.5,4.2901,0.44071
19500203,20.137,85.032,758.33,3.8846,0.89168
19500204,20.195,85.797,800.0,4.098,0.92417
19500205,20.081,85.608,766.67,3.9273,0.78128
19500206,19.299,86.977,591.67,3.0308,1.1992
19500207,20.259,77.832,895.83,4.5889,0.64928
19500208,20.17,76.75,879.17,4.5036,0.35556
19500209,19.778,73.66,933.33,4.781,0.59498
19500210,20.071,69.53,950.0,4.8664,0.61521
19500211,20.441,68.122,954.17,4.8877,0.67148
19500212,20.723,67.725,958.33,4.9091,0.57271
19500213,20.667,69.104,954.17,4.8877,0.40806
19500214,21.076,68.073,962.5,4.9304,0.38963
19500215,21.143,68.531,970.83,4.9731,0.32736
19500216,20.801,69.613,962.5,4.9304,0.56402
19500217,20.804,69.295,975.0,4.9945,0.71563
19500218,20.063,69.571,966.67,4.9518,1.1955
19500219,20.078,68.717,975.0,4.9945,0.80131
19500220,20.242,65.781,979.17,5.0158,1.1675
19500221,20.675,64.699,987.5,5.0585,0.58226
19500222,21.183,64.873,983.33,5.0372,0.26477
19500223,21.025,67.628,979.17,5.0158,0.36834
19500224,21.168,71.193,958.33,4.9091,0.61072
19500225,21.928,70.39,979.17,5.0158,0.25222
19500226,22.29,73.528,929.17,4.7597,0.44266
19500227,22.389,73.63,900.0,4.6103,0.3478
19500228,21.582,75.023,925.0,4.7383,0.97219
19500301,20.421,86.2,833.33,4.2688,1.15
19500302,19.287,92.457,650.0,3.3296,1.0312
19500303,20.224,89.879,800.0,4.098,0.88797
19500304,20.561,88.485,766.67,3.9273,0.25957
19500305,20.286,89.747,641.67,3.287,0.21843
19500306,20.317,89.787,716.67,3.6711,0.71344
19500307,20.69,80.897,962.5,4.9304,0.85704
19500308,21.03,71.945,1000.0,5.1225,1.0264
19500309,21.278,73.944,991.67,5.0798,0.54604
19500310,20.902,77.257,966.67,4.9518,1.113
19500311,21.102,75.977,979.17,5.0158,0.99581
19500312,21.2,74.976,966.67,4.9518,0.66419
19500313,21.95,73.747,937.5,4.8024,0.67742
19500314,21.646,78.202,941.67,4.8237,0.45917
19500315,22.145,74.227,925.0,4.7383,0.48796
19500316,20.987,81.237,908.33,4.653,0.85475
19500317,20.322,87.262,762.5,3.9059,0.88175
