date,temperature,humidity,irradiance,potential,wind_speed
19500101,20.3,73.536,637.5,4.3901,0.2375
19500102,20.352,73.225,837.5,4.2901,0.2675
19500103,20.654,75.678,791.67,4.0553,0.47449
19500104,21.388,73.61,850.0,4.3541,0.44123
19500105,21.435,74.99,841.67,4.3115,0.35958
19500106,20.851,82.928,745.83,3.8206,0.095097
19500107,21.302,82.127,745.83,3.8206,0.62079
19500108,22.357,79.49866666666667,875.0,4.4822,0.68988
19500109,21.651,76.87033333333333,883.33,4.5249,0.50493
19500110,20.629,74.242,862.5,4.4182,0.88512
19500111,20.724,72.669,875.0,4.4822,0.92457
19500112,21.007,73.951,879.17,4.5036,0.80799
19500113,21.034,76.301,837.5,4.2901,0.84626
19500114,20.792,75.842,833.33,4.2688,0.78848
19500115,20.057,77.029,837.5,4.2901,0.26739
19500116,19.765,72.251,895.83,4.5889,0.34885
19500117,20.046,72.43066666666667,904.17,4.6316,0.43693
19500118,20.974,72.61033333333333,900.0,4.6103,0.71528
19500119,20.918,72.78999999999999,900.0,4.6103,0.36946
19500120,21.416,72.96966666666667,908.33,4.653,0.51382
19500121,21.578,73.14933333333333,912.5,4.6743,0.47364
19500122,21.359,73.329,895.83,4.5889,0.6664
19500123,21.403,74.5825,908.33,4.653,0.46417
19500124,21.508,75.836,891.67,4.5676,0.68754
19500125,22.0,77.0895,887.5,4.5462,0.43205
19500126,21.645,78.343,833.33,4.2688,0.4507
19500127,20.897,85.474,737.5,3.7779,0.52555
19500128,21.317,82.283,841.67,4.3115,0.57895
19500129,21.625,75.169,900.0,4.6103,0.75484
19500130,21.712,74.369,887.5,4.5462,0.56711
19500131,22.04,74.856,883.33,4.5249,0.34574
19500201,22.151,75.446,887.5,4.5462,0.42055
19500202,22.27,76.439,845.83,4.3328,0.4744
19500203,21.207,82.504,779.17,3.9913,0.81413
19500204,21.238,83.48,812.5,4.1621,0.93418
19500205,21.152,83.332,770.83,3.9486,0.73814
19500206,20.375,84.66,600.0,3.0735,1.2997
19500207,20.974,76.659,887.5,4.5462,0.52113
19500208,20.808,75.928,870.83,4.4609,0.32174
19500209,20.476,72.426,933.33,4.781,0.44841
19500210,20.519,72.42741176470588,945.83,4.8451,0.65808
19500211,20.88,72.42882352941177,954.17,4.8877,0.76172
19500212,21.279,72.43023529411765,954.17,4.8877,0.71824
19500213,21.085,72.43164705882353,950.0,4.8664,0.54395
19500214,21.517,72.43305882352941,958.33,4.9091,0.51118
19500215,21.573,72.4344705882353,970.83,4.9731,0.37463
19500216,21.347,72.43588235294118,962.5,4.9304,0.45815
19500217,21.185,72.43729411764706,970.83,4.9731,0.6187
19500218,20.801,72.43870588235295,966.67,4.9518,1.2058
19500219,20.857,72.44011764705883,970.83,4.9731,0.72935
19500220,20.81,72.4415294117647,979.17,5.0158,1.1009
19500221,21.078,72.4429411764706,983.33,5.0372,0.47855
19500222,21.559,72.44435294117648,979.17,5.0158,0.4162
19500223,21.396,72.44576470588235,979.17,5.0158,0.43312
19500224,21.614,72.44717647058823,954.17,4.8877,0.4749
19500225,22.334,72.44858823529412,975.0,4.9945,0.39388
19500226,22.84,72.45,920.83,4.717,0.44501
19500227,22.883,75.68933333333334,916.67,4.6957,0.34346
19500228,22.435,78.92866666666667,937.5,4.8024,0.91405
19500301,21.673,82.168,866.67,4.4395,0.9098
19500302,20.407,90.452,654.17,3.351,1.096
19500303,21.364,87.989,800.0,4.098,1.0039
19500304,21.66,86.96,766.67,3.9273,0.15297
19500305,21.309,88.287,650.0,3.3296,0.35362
19500306,21.404,88.06,758.33,3.8846,0.73849
19500307,21.752,78.886,962.5,4.9304,0.81481
19500308,21.735,75.9105,991.67,5.0798,0.97431
19500309,22.012,72.935,987.5,5.0585,0.51227
19500310,21.654,75.421,962.5,4.9304,1.1259
19500311,21.83,74.614,970.83,4.9731,0.95247
19500312,21.9,74.071,962.5,4.9304,0.5506
19500313,22.582,73.617,925.0,4.7383,0.54245
