date,temperature,humidity,irradiance,potential,wind_speed
19500101,24.545,89.632,650.83,3.364,1.5157
19500102,24.945,90.3825,670.83,3.4364,1.8157
19500103,24.234,91.133,641.67,3.287,2.0908
19500104,25.402,90.247,687.5,3.5217,1.824
19500105,25.242,89.361,679.17,3.4791,2.2644
19500106,24.36,92.079,595.83,3.0522,2.594
19500107,25.874,92.06,737.5,3.7779,1.6869
19500108,26.672,92.041,766.67,3.9273,1.3852
19500109,26.267,92.02199999999999,758.33,3.8846,1.982
19500110,24.367,92.003,608.33,3.1162,2.5346
19500111,24.692,88.963,675.0,3.4577,2.0302
19500112,24.88,88.66,683.33,3.5004,2.1576
19500113,24.44,91.27,587.5,3.0095,2.5109
19500114,24.507,90.908,612.5,3.1375,1.8261
19500115,23.731,92.398,566.67,2.9028,1.9922
19500116,23.381,91.471,575.0,2.9455,1.3979
19500117,25.316,91.4156,845.83,4.3328,0.66141
19500118,24.987,91.3602,775.0,3.97,1.4222
19500119,25.183,91.3048,741.67,3.7992,2.1501
19500120,25.349,91.24940000000001,675.0,3.4577,1.8964
19500121,25.429,91.194,725.0,3.7138,2.2686
19500122,25.477,91.1386,716.67,3.6711,2.168
19500123,25.403,91.0832,712.5,3.6498,2.0911
19500124,26.02,91.0278,695.83,3.5644,1.9022
19500125,26.157,90.97240000000001,733.33,3.7565,2.1271
19500126,25.109,90.917,650.0,3.3296,2.5359
19500127,24.246,92.421,662.5,3.3937,2.5981
19500128,25.084,88.719,695.83,3.5644,2.1741
19500129,25.254,89.198,687.5,3.5217,1.5419
19500130,25.417,89.593,679.17,3.4791,1.7946
19500131,25.682,90.14750000000001,704.17,3.6071,1.9359
19500201,26.1,90.702,704.17,3.6071,1.8872
19500202,25.668,91.2565,733.33,3.7565,2.2772
19500203,24.472,91.811,645.83,3.3083,2.6722870000000003
19500204,24.789,89.924,654.17,3.351,2.2727
19500205,24.856,90.146,695.83,3.5644,2.2797
19500206,24.701,90.861,645.83,3.3083,2.2271
19500207,25.522,90.74745454545454,737.5,3.7779,1.2968
19500208,25.213,90.6339090909091,787.5,4.034,1.6116
19500209,25.122,90.52036363636364,720.83,3.6925,1.3055
19500210,25.951,90.40681818181818,900.0,4.6103,0.71578
19500211,25.931,90.29327272727272,900.0,4.6103,1.0924
19500212,25.804,90.17972727272728,787.5,4.034,1.536
19500213,26.03,90.06618181818182,812.5,4.1621,1.3344
19500214,26.087,89.95263636363636,841.67,4.3115,1.6894
19500215,26.386,89.8390909090909,858.33,4.3968,1.6664
19500216,25.33,89.72554545454545,654.17,3.351,2.0003
19500217,24.664,89.612,675.0,3.4577,2.0976
19500218,25.334,89.57583333333332,729.17,3.7352,2.2799
19500219,25.734,89.53966666666666,758.33,3.8846,1.8348
19500220,25.363,89.5035,741.67,3.7992,2.287
19500221,25.952,89.46733333333333,825.0,4.2261,1.5923
19500222,26.249,89.43116666666666,870.83,4.4609,1.4068
19500223,24.875,89.395,725.0,3.7138,2.0423
19500224,25.461,89.12,745.83,3.8206,2.396
19500225,25.763,88.845,779.17,3.9913,1.877
19500226,26.733,89.5975,841.67,4.3115,2.0038
19500227,25.808,90.35,750.0,3.8419,2.6722870000000003
19500228,26.06,88.57,770.83,3.9486,2.5969
19500301,25.309,91.456,700.0,3.5858,2.6722870000000003
19500302,24.19,91.305,554.17,2.8387,2.3976
19500303,26.2,90.5365,841.67,4.3115,2.0964
19500304,25.592,89.768,700.0,3.5858,2.1993
19500305,25.239,92.448,745.83,3.8206,1.7446
19500306,24.548,93.903,725.0,3.7138,1.6717
19500307,24.632,92.776,720.83,3.6925,1.9269
19500308,25.99,91.93633333333334,854.17,4.3755,1.7689
19500309,26.49,91.09666666666666,850.0,4.3541,1.7229
19500310,25.239,90.257,616.67,3.1589,2.1674
19500311,26.41,89.65,825.0,4.2261,1.4592
19500312,25.419,89.043,579.17,2.9668,0.76083
19500313,25.23,90.946,570.83,2.9241,0.9619
19500314,25.685,91.4925,758.33,3.8846,0.8994
19500315,24.719,92.039,637.5,3.2656,1.2573
19500316,24.701,92.419,695.83,3.5644,2.0728
19500317,24.271,93.622,683.33,3.5004,1.9384
19500318,23.11,94.97,595.83,3.0522,1.783
19500319,23.599,93.569,654.17,3.351,1.2682
19500320,23.175,94.262,687.5,3.5217,1.6617
19500321,23.119,95.068,583.33,2.9881,1.8495
19500322,23.652,92.711,745.83,3.8206,1.9401
19500323,24.095,92.449,708.33,3.6285,1.9975
19500324,24.867,90.638,733.33,3.7565,1.1004
19500325,24.27,93.922,704.17,3.6071,1.8508
19500326,23.485,94.84,620.83,3.1802,1.2384
19500327,24.79,91.059,741.67,3.7992,0.97646
19500328,25.9,91.429,904.17,4.6316,1.1447
19500329,25.061,91.799,733.33,3.7565,1.5962
19500330,25.168,92.399,766.67,3.9273,1.6712
19500331,25.105,93.14,733.33,3.7565,1.8438
19500401,24.289,94.335,716.67,3.6711,1.6673
19500402,23.029,95.858,541.67,2.7747,2.0023
19500403,23.115,95.347,675.0,3.4577,2.2468
19500404,23.264,94.136,712.5,3.6498,2.2292
19500405,23.984,92.668,725.0,3.7138,2.1457
19500406,23.736,94.365,720.83,3.6925,1.9243
19500407,25.191,91.497,804.17,4.1194,0.85731
19500408,24.709,93.061,729.17,3.7352,1.899
19500409,24.747,92.682,666.67,3.415,1.3701
19500410,24.157,93.892,641.67,3.287,2.617
19500411,24.527,92.845,779.17,3.9913,2.3382
19500412,24.162,92.44,533.33,2.732,1.1823
19500413,25.365,89.661,766.67,3.9273,0.51846
19500414,25.236,90.512,766.67,3.9273,1.5935
19500415,24.37,93.019,691.67,3.5431,2.2046
19500416,25.625,92.67966666666668,829.17,4.2474,1.4862
19500417,26.017,92.34033333333333,845.83,4.3328,1.9748
19500418,25.218,92.001,750.0,3.8419,2.4214
19500419,24.881,92.476,762.5,3.9059,1.9418
19500420,24.825,92.797,662.5,3.3937,1.7445
19500421,25.148,92.285,766.67,3.9273,1.8602
19500422,24.629,93.852,658.33,3.3723,2.336
19500423,24.551,93.425,625.0,3.2016,2.3404
19500424,25.312,91.842,787.5,4.034,1.8933
19500425,24.71,93.855,679.17,3.4791,1.9914
19500426,22.959,95.713,579.17,2.9668,1.5247
19500427,24.473,93.452,745.83,3.8206,1.7045
19500428,24.496,93.709,733.33,3.7565,1.8396
19500429,24.32,93.336,650.0,3.3296,1.7896
19500430,24.967,92.098,741.67,3.7992,1.6204
19500501,24.1,93.88,637.5,3.2656,2.3363
19500502,24.078,93.577,679.17,3.4791,2.1649
19500503,24.256,94.006,670.83,3.4364,1.8844
19500504,24.377,93.545,700.0,3.5858,0.9969
19500505,24.959,92.858,812.5,4.1621,1.6533
19500506,23.621,95.659,629.17,3.2229,1.6265
19500507,24.343,93.208,791.67,4.0553,1.7989
19500508,24.508,93.231,775.0,3.97,1.3925
19500509,25.651,88.946,804.17,4.1194,0.46132
19500510,26.066,88.787,758.33,3.8846,1.4845
19500511,25.26,92.956,720.83,3.6925,2.0064
19500512,24.47,93.548,708.33,3.6285,2.2634
19500513,24.914,92.655,708.33,3.6285,1.9543
19500514,24.921,92.705,708.33,3.6285,1.4561
19500515,23.997,95.097,620.83,3.1802,1.5614
19500516,25.138,91.502,737.5,3.7779,1.3643
19500517,24.518,94.203,666.67,3.415,2.4037
19500518,23.611,94.572,641.67,3.287,2.3531
19500519,23.631,94.547,608.33,3.1162,2.0601
19500520,23.567,94.33,675.0,3.4577,1.7088
19500521,23.207,95.318,616.67,3.1589,1.3747
19500522,23.192,95.164,670.83,3.4364,1.2955
19500523,22.992,95.355,616.67,3.1589,1.5381
19500524,23.083,95.192,575.0,2.9455,1.6535
19500525,24.268,90.362,704.17,3.6071,1.6033
19500526,24.597,89.356,691.67,3.5431,1.4428
19500527,24.859,89.1165,808.33,4.1407,1.3551
19500528,24.763,88.877,795.83,4.0767,1.8449
19500529,25.275,89.4675,775.0,3.97,1.6232
19500530,24.906,90.058,750.0,3.8419,2.2796
19500531,25.121,90.881,795.83,4.0767,2.1663
19500601,23.976,94.003,575.0,2.9455,2.6722870000000003
19500602,23.458,94.677,587.5,3.0095,2.3711
19500603,21.479,97.552,251.68,1.2892,1.2795
19500604,22.997,93.385,725.0,3.7138,1.3233
19500605,23.809,93.29,695.83,3.5644,1.1196
19500606,23.82,94.137,608.33,3.1162,2.0593
19500607,23.847,93.762,583.33,2.9881,1.7765
19500608,24.421,91.957,683.33,3.5004,1.2919
19500609,23.665,94.343,695.83,3.5644,2.2312
19500610,22.888,95.178,393.34,2.0149,2.218
19500611,23.321,94.333,650.0,3.3296,2.4914
19500612,22.488,95.19,587.5,3.0095,2.516
19500613,22.564,94.927,608.33,3.1162,2.541
19500614,22.132,95.518,550.0,2.8174,2.0257
19500615,22.59,95.277,612.5,3.1375,1.702
19500616,23.056,94.607,687.5,3.5217,2.0978
19500617,22.889,94.874,604.17,3.0949,2.3557
19500618,23.136,94.16,587.5,3.0095,2.2309
19500619,22.698,94.911,583.33,2.9881,1.978
19500620,23.124,93.657,637.5,3.2656,1.9343
19500621,23.567,92.376,629.17,3.2229,2.3279
19500622,22.957,93.351,608.33,3.1162,2.6722870000000003
19500623,23.242,92.008,570.83,2.9241,2.0474
19500624,23.657,91.707,654.17,3.351,2.2391
19500625,24.038,91.244,704.17,3.6071,2.1537
19500626,23.457,93.169,645.83,3.3083,2.6722870000000003
19500627,23.296,92.848,645.83,3.3083,2.2253
19500628,23.534,92.419,633.33,3.2443,2.3098
19500629,23.747,90.672,725.0,3.7138,2.4482
19500630,23.135,92.438,633.33,3.2443,2.6722870000000003
19500701,22.593,91.877,704.17,3.6071,2.6722870000000003
19500702,22.325,90.873,612.5,3.1375,1.8878
19500703,22.451,89.998,754.17,3.8632,2.6722870000000003
19500704,21.281,92.214,508.33,2.604,2.6722870000000003
19500705,22.252,91.837,675.0,3.4577,2.6722870000000003
19500706,22.015,94.187,554.17,2.8387,2.6611
19500707,22.32,93.197,575.0,2.9455,2.6722870000000003
