town,variable,outlier_count,total_obs,outlier_percentage,lower_bound,upper_bound,min_value,max_value
Bafoussam,temperature,37,27214,0.13595943264496216,15.3945,25.6145,15.562,26.451
Bafoussam,humidity,400,27214,1.4698317042698612,76.6795,108.0355,68.19,99.352
Bafoussam,irradiance,95,27214,0.349085029764092,212.5,1112.5,76.044,1012.5
Bafoussam,potential,95,27214,0.349085029764092,1.0885,5.6989,0.38954,5.1866
Bafoussam,wind_speed,471,27214,1.7307268317777613,-0.43068749999999983,1.6143924999999997,0.0068881,2.5428
Bambili,temperature,133,27214,0.48871904166972885,14.332624999999998,23.091625,13.843,24.4
Bambili,humidity,666,27214,2.4472697876093186,74.16762499999997,110.67062500000002,64.5,99.626
Bambili,irradiance,30,27214,0.11023737782023958,143.74500000000006,1160.425,83.482,1008.3
Bambili,potential,30,27214,0.11023737782023958,0.7362999999999997,5.9443,0.42764,5.1652
Bambili,wind_speed,306,27214,1.1244212537664438,-0.20699124999999985,1.21167875,0.0024735,1.8007
Bamenda,temperature,153,27214,0.5622106268832219,13.984500000000002,22.308500000000002,13.305,23.674
Bamenda,humidity,840,27214,3.0866465789667084,75.50925000000001,110.43525,64.699,99.961
Bamenda,irradiance,17,27214,0.062467847431469097,125.00499999999994,1158.325,75.176,1016.7
Bamenda,potential,17,27214,0.062467847431469097,0.6403500000000006,5.933549999999999,0.38509,5.2079
Bamenda,wind_speed,178,27214,0.6540751084000882,-0.24315374999999995,1.22323625,0.0045987,1.6123
Yaounde,temperature,292,27214,1.0729771441169986,19.656999999999996,25.801000000000002,18.71,27.508
Yaounde,humidity,1560,27214,5.732343646652458,91.824,99.944,77.145,99.903
Yaounde,irradiance,348,27214,1.2787535827147791,268.75499999999994,852.075,98.269,904.17
Yaounde,potential,348,27214,1.2787535827147791,1.3765499999999997,4.36495,0.50339,4.6316
Yaounde,wind_speed,18,27214,0.06614242669214375,-0.10973750000000004,2.9893625,0.0030651,3.3081
